classification	source	destination	source_sha256	destination_sha256	modified	purpose
NEW PHASE 0F	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/phase-0f-zkorigin-binding/adapter/circuits/rwa_trade_provenance_v1.circom	circuits/provenance/rwa_trade_provenance_v1.circom	7ed891b04d2f86925bb5d1e06dc5eb9987ffef811690b46920336dcdb536bd62	a55baf442548de5caf66fb83019768b71aabc793e74e3310c4ca651e7181245b	YES (imports only)	Provenance circuit
NEW PHASE 0G	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/phase-0g-investor-eligibility/adapter/circuits/rwa_investor_eligibility_v1.circom	circuits/eligibility/rwa_investor_eligibility_v1.circom	2a5d6c3b767ee75bf2c0fd70c105d53af79131e381e730d34c0b5bfc85d18341	688c7cd052cedbbc2b706ec35df2cd36fcd4b0fa5c8031cd34d7304bd9f77f6f	YES (imports + Phase 1B credential leaf)	Eligibility circuit; Phase 1B binds the authority-approved receiver into the credential leaf
NEW PHASE 0F	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/phase-0f-zkorigin-binding/adapter/scripts/schema.js	circuits/shared/trade-commitment-v1.js	38f7930290dce77e9ab9bf5fdb962ac8e5b83450339fc62f8f1e40bc781fd594	38f7930290dce77e9ab9bf5fdb962ac8e5b83450339fc62f8f1e40bc781fd594	NO	Frozen TradeCommitmentV1 schema
NEW PHASE 0G	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/phase-0g-investor-eligibility/adapter/scripts/schema.js	circuits/shared/eligibility-v1.js	5e78ee193e08c8a77dfc4fc59f7cf6a9bdd4537d28a7903c2266bf7b7f325c57	3b4a07fffd5ffbcbcd0b63613283af7d4d04e1b125a62b57682e0f4671f1e9ce	YES (module path + Phase 1B credential leaf)	Eligibility and recipient schema; Phase 1B CRED_V2 credential leaf
NEW PHASE 0F	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/phase-0f-zkorigin-binding/fixtures/reference-trade-v1.json	tests/fixtures/reference-trade-v1.json	5733abbaae1d956a74e459f96b366a4d75b9bb931b2278d75e852d129ee7176c	5733abbaae1d956a74e459f96b366a4d75b9bb931b2278d75e852d129ee7176c	NO	Synthetic provenance/trade vector
NEW PHASE 0G	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/phase-0g-investor-eligibility/fixtures/eligible-reference-trade-v1.json	tests/fixtures/eligible-reference-trade-v1.json	6ad0fb5c89c4a6356b64df2ede686d038c2c19ca76129a15c2ea7961b6633504	6ad0fb5c89c4a6356b64df2ede686d038c2c19ca76129a15c2ea7961b6633504	NO	Synthetic eligibility vector
NEW PHASE 0F	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/phase-0f-zkorigin-binding/tests/encoding.test.js	tests/adversarial/asset-encoding.test.js	d4709ba4c778eded15d2bb9bc0ab2fbf28879f0a298ec3309d9b4a2aadf60c01	f94f21d23384e20dc073d8cd989e2b22a746a1211c039b663eedf3dbb32fd013	YES (module path only)	Asset encoding tests
NEW PHASE 0F	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/phase-0f-zkorigin-binding/tests/schema.test.js	tests/adversarial/trade-commitment.test.js	688a341abb650edb9bc77fdc79edc38ca925c709f1e7304ef50c97240a1cdac6	d1b7342f5728e74098c8d49da5048217bd494c40567423cdff2aba3705c58829	YES (module path only)	Trade vector test
NEW PHASE 0G	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/phase-0g-investor-eligibility/tests/schema.test.js	tests/adversarial/eligibility-schema.test.js	a11b71b16302c2b207fd83b74bead61e26eea17dc0c1834fa5cf849525b59038	244eb93b840ed2078954e7a98b88b726435876fe3f99e6ddd51c3ef61608cab3	YES (module path only)	Recipient/schema tests
PRE-EXISTING ZK-ORIGIN	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/zk-origin/zk-origin/circuits/src/lib/poseidon.circom	circuits/shared/zk-origin/poseidon.circom	bce02458040e3469729924a14bf17fc1fa1a0337cc978144173d4fcc159e3dae	f8cd9fcf1fe916eab3979bf6d8e6c5f2f9e3e315bc5aa8408a2f0e465ccece82	YES (imports only)	ZK-ORIGIN poseidon.circom
PRE-EXISTING ZK-ORIGIN	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/zk-origin/zk-origin/circuits/src/lib/merkle.circom	circuits/shared/zk-origin/merkle.circom	e9e1f34ebbe0b5a944531d72887b5e1e96584ea1947f91ec6676d193db670c5c	e9e1f34ebbe0b5a944531d72887b5e1e96584ea1947f91ec6676d193db670c5c	NO	ZK-ORIGIN merkle.circom
PRE-EXISTING ZK-ORIGIN	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/zk-origin/zk-origin/circuits/src/lib/comparators.circom	circuits/shared/zk-origin/comparators.circom	2562fa414e05150e1984c75524d0a186590471ec4602a500f08eb23d21f4592a	5eddb0f2bdc7bb9154e66268c3d18d966e21cac6f43daf43bb3d2d19d7b6c6d6	YES (imports only)	ZK-ORIGIN comparators.circom
PRE-EXISTING ZK-ORIGIN	/Users/mahesh/Desktop/Colosseum/ZWA/zsa-feasibility/zk-origin/zk-origin/circuits/src/lib/validators.circom	circuits/shared/zk-origin/validators.circom	22a5c62566e5acbdbf0f6d27192cb6c8630bcb628ab06cf26b7bd0f919298dcc	1fb023d030b9ef75920557e8c269bbcb5334778eedcccb8826443825ace46de8	YES (imports only)	ZK-ORIGIN validators.circom
